api,method,path,status,ok,duration_ms,size,note,url
portal_transparencia,GET,/emendas/documentos/{codigo},,False,0,0,IGNORED: path params sem amostras,
brasil_api,GET,/cep/v1/{cep},,False,0,0,IGNORED: path params sem amostras,
brasil_api,GET,/cep/v2/{cep},,False,0,0,IGNORED: path params sem amostras,
brasil_api,GET,/isbn/v1/{isbn},,False,0,0,IGNORED: path params sem amostras,
portal_transparencia,GET,/despesas/recursos-recebidos,400,True,281,173,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/despesas/recursos-recebidos
portal_transparencia,GET,/despesas/por-funcional-programatica,400,True,283,45,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/despesas/por-funcional-programatica
portal_transparencia,GET,/despesas/por-orgao,400,True,284,45,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/despesas/por-orgao
portal_transparencia,GET,/despesas/tipo-transferencia,200,True,295,111,,https://api.portaldatransparencia.gov.br/api-de-dados/despesas/tipo-transferencia
portal_transparencia,GET,/despesas/por-favorecido,403,False,440,0,HTTP 403,https://api.portaldatransparencia.gov.br/api-de-dados/despesas/por-favorecido
portal_transparencia,GET,/servidores/remuneracao,400,True,172,162,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/servidores/remuneracao
portal_transparencia,GET,/servidores,400,True,193,139,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/servidores
portal_transparencia,GET,/servidores/1,400,True,189,45,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/servidores/1
portal_transparencia,GET,/servidores/funcoes-e-cargos,200,True,116,1000,,https://api.portaldatransparencia.gov.br/api-de-dados/servidores/funcoes-e-cargos
portal_transparencia,GET,/viagens,400,True,115,150,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/viagens
portal_transparencia,GET,/orgaos-siafi,200,True,103,911,,https://api.portaldatransparencia.gov.br/api-de-dados/orgaos-siafi
portal_transparencia,GET,/orgaos-siape,200,True,136,1005,,https://api.portaldatransparencia.gov.br/api-de-dados/orgaos-siape
portal_transparencia,GET,/licitacoes,400,True,86,155,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/licitacoes
portal_transparencia,GET,/servidores/por-orgao,200,True,547,5843,,https://api.portaldatransparencia.gov.br/api-de-dados/servidores/por-orgao
portal_transparencia,GET,/licitacoes/modalidades,200,True,99,799,,https://api.portaldatransparencia.gov.br/api-de-dados/licitacoes/modalidades
portal_transparencia,GET,/viagens-por-cpf,200,True,370,2,,https://api.portaldatransparencia.gov.br/api-de-dados/viagens-por-cpf
portal_transparencia,GET,/licitacoes/1,200,True,222,0,,https://api.portaldatransparencia.gov.br/api-de-dados/licitacoes/1
portal_transparencia,GET,/licitacoes/por-ug-modalidade-numero,400,True,177,177,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/licitacoes/por-ug-modalidade-numero
portal_transparencia,GET,/licitacoes/participantes,400,True,184,166,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/licitacoes/participantes
portal_transparencia,GET,/contratos,400,True,96,154,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/contratos
portal_transparencia,GET,/convenios,400,True,91,198,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/convenios
portal_transparencia,GET,/novo-bolsa-familia-por-municipio,400,True,96,172,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/novo-bolsa-familia-por-municipio
portal_transparencia,GET,/licitacoes/ugs,200,True,316,5037,,https://api.portaldatransparencia.gov.br/api-de-dados/licitacoes/ugs
portal_transparencia,GET,/contratos/1,403,False,153,0,HTTP 403,https://api.portaldatransparencia.gov.br/api-de-dados/contratos/1
portal_transparencia,GET,/novo-bolsa-familia-sacado-por-nis,400,True,108,71,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/novo-bolsa-familia-sacado-por-nis
portal_transparencia,GET,/novo-bolsa-familia-disponivel-por-cpf-ou-nis,403,False,110,0,HTTP 403,https://api.portaldatransparencia.gov.br/api-de-dados/novo-bolsa-familia-disponivel-por-cpf-ou-nis
portal_transparencia,GET,/bolsa-familia-por-municipio,400,True,94,167,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/bolsa-familia-por-municipio
portal_transparencia,GET,/bolsa-familia-sacado-por-nis,400,True,120,71,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/bolsa-familia-sacado-por-nis
portal_transparencia,GET,/bpc-beneficiario-por-municipio,400,True,79,170,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/bpc-beneficiario-por-municipio
portal_transparencia,GET,/bpc-por-municipio,400,True,93,157,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/bpc-por-municipio
portal_transparencia,GET,/bpc-por-cpf-ou-nis,400,True,87,158,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/bpc-por-cpf-ou-nis
portal_transparencia,GET,/auxilio-emergencial-por-municipio,400,True,167,173,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/auxilio-emergencial-por-municipio
portal_transparencia,GET,/auxilio-brasil-por-municipio,400,True,191,168,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/auxilio-brasil-por-municipio
portal_transparencia,GET,/auxilio-brasil-sacado-por-nis,400,True,191,71,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/auxilio-brasil-sacado-por-nis
portal_transparencia,GET,/peti-por-municipio,400,True,76,158,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/peti-por-municipio
portal_transparencia,GET,/auxilio-emergencial-por-cpf-ou-nis,400,True,212,103,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/auxilio-emergencial-por-cpf-ou-nis
portal_transparencia,GET,/safra-por-municipio,400,True,93,159,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/safra-por-municipio
portal_transparencia,GET,/peti-por-cpf-ou-nis,400,True,136,159,HTTP 400 (parâmetros de teste mínimos),https://api.portaldatransparencia.gov.br/api-de-dados/peti-por-cpf-ou-nis
